,Year,Commodity,Historical or simulated,Scenario,Mean total minesite cost
290,2019.0,Ag,Simulated,1,90784.25884665124
291,2001.0,Ag,Simulated,2,293535.81048737885
292,2002.0,Ag,Simulated,2,272055.98273510905
293,2003.0,Ag,Simulated,2,243955.49521365552
294,2004.0,Ag,Simulated,2,217350.45492128129
295,2005.0,Ag,Simulated,2,206204.54257056123
296,2006.0,Ag,Simulated,2,190449.14722909877
297,2007.0,Ag,Simulated,2,182571.27434770783
298,2008.0,Ag,Simulated,2,174382.52128677408
299,2009.0,Ag,Simulated,2,168085.2531533287
300,2010.0,Ag,Simulated,2,162281.7468112437
301,2011.0,Ag,Simulated,2,156996.55500334396
302,2012.0,Ag,Simulated,2,151449.51199078144
303,2013.0,Ag,Simulated,2,145819.24487444834
304,2014.0,Ag,Simulated,2,140992.03121299064
305,2015.0,Ag,Simulated,2,134532.00369308915
306,2016.0,Ag,Simulated,2,128284.57082826762
307,2017.0,Ag,Simulated,2,121887.09306340518
308,2018.0,Ag,Simulated,2,115569.55216879364
309,2019.0,Ag,Simulated,2,109663.44251974185
310,2001.0,Ag,Simulated,3,305961.43448269943
311,2002.0,Ag,Simulated,3,301359.113532838
312,2003.0,Ag,Simulated,3,299161.35106486554
313,2004.0,Ag,Simulated,3,292101.57768953155
314,2005.0,Ag,Simulated,3,288171.0068306896
315,2006.0,Ag,Simulated,3,289213.93873743084
316,2007.0,Ag,Simulated,3,293639.46401716425
317,2008.0,Ag,Simulated,3,294523.5934413387
318,2009.0,Ag,Simulated,3,299164.961228525
319,2010.0,Ag,Simulated,3,305872.70312031667
320,2011.0,Ag,Simulated,3,309510.22212970164
321,2012.0,Ag,Simulated,3,315034.93127083883
322,2013.0,Ag,Simulated,3,320410.88154877455
323,2014.0,Ag,Simulated,3,324946.4456180452
324,2015.0,Ag,Simulated,3,330727.5838357995
325,2016.0,Ag,Simulated,3,335990.9962672466
326,2017.0,Ag,Simulated,3,342369.7866172677
327,2018.0,Ag,Simulated,3,346851.2742380614
328,2019.0,Ag,Simulated,3,349519.8781599225
329,2001.0,Ag,Simulated,4,265656.2504075341
330,2002.0,Ag,Simulated,4,257741.7483777428
331,2003.0,Ag,Simulated,4,244203.3898454772
332,2004.0,Ag,Simulated,4,232432.778338351
333,2005.0,Ag,Simulated,4,224120.0546514771
334,2006.0,Ag,Simulated,4,228063.4545677236
335,2007.0,Ag,Simulated,4,236713.3439975398
336,2008.0,Ag,Simulated,4,245178.88503973823
337,2009.0,Ag,Simulated,4,256338.596254594
338,2010.0,Ag,Simulated,4,266610.1770753932
339,2011.0,Ag,Simulated,4,275945.8964606379
340,2012.0,Ag,Simulated,4,289239.2893564247
341,2013.0,Ag,Simulated,4,298840.9487918294
342,2014.0,Ag,Simulated,4,309168.87355273904
343,2015.0,Ag,Simulated,4,320834.6786300399
344,2016.0,Ag,Simulated,4,333457.87784116727
345,2017.0,Ag,Simulated,4,348415.32671870483
346,2018.0,Ag,Simulated,4,358702.2595156387
347,2019.0,Ag,Simulated,4,370910.2537015675
348,2001.0,Ag,Simulated,5,274578.9651011604
349,2002.0,Ag,Simulated,5,243588.29762164265
350,2003.0,Ag,Simulated,5,213617.9339312282
351,2004.0,Ag,Simulated,5,197258.2841855916
352,2005.0,Ag,Simulated,5,183373.05833572743
353,2006.0,Ag,Simulated,5,171563.9527853425
354,2007.0,Ag,Simulated,5,166804.14846328707
355,2008.0,Ag,Simulated,5,161478.42700268814
356,2009.0,Ag,Simulated,5,158537.06517411757
357,2010.0,Ag,Simulated,5,154987.21325991332
358,2011.0,Ag,Simulated,5,150759.38426920574
359,2012.0,Ag,Simulated,5,148404.23975516975
360,2013.0,Ag,Simulated,5,145401.74063641022
361,2014.0,Ag,Simulated,5,142678.41479964467
362,2015.0,Ag,Simulated,5,140397.03517475454
363,2016.0,Ag,Simulated,5,137967.76027545158
364,2017.0,Ag,Simulated,5,135191.6366043343
365,2018.0,Ag,Simulated,5,132228.42831818076
366,2019.0,Ag,Simulated,5,129181.83478094214
367,2001.0,Ag,Simulated,6,237658.53169985043
368,2002.0,Ag,Simulated,6,210720.79063627688
369,2003.0,Ag,Simulated,6,185724.66431374813
370,2004.0,Ag,Simulated,6,168842.21921370822
371,2005.0,Ag,Simulated,6,159154.50278765798
372,2006.0,Ag,Simulated,6,152993.45813065243
373,2007.0,Ag,Simulated,6,147415.99942748478
374,2008.0,Ag,Simulated,6,142258.63847752404
375,2009.0,Ag,Simulated,6,137388.54003732133
376,2010.0,Ag,Simulated,6,131185.59697918865
377,2011.0,Ag,Simulated,6,125276.51174208388
378,2012.0,Ag,Simulated,6,120665.41980512218
379,2013.0,Ag,Simulated,6,115865.5837212214
380,2014.0,Ag,Simulated,6,110644.76890087716
381,2015.0,Ag,Simulated,6,105421.41578259406
382,2016.0,Ag,Simulated,6,100646.75626334696
383,2017.0,Ag,Simulated,6,96058.82832974776
384,2018.0,Ag,Simulated,6,90590.59025529448
385,2019.0,Ag,Simulated,6,86690.78166235762
386,2001.0,Ag,Simulated,7,257876.99293633463
387,2002.0,Ag,Simulated,7,240383.32397323617
388,2003.0,Ag,Simulated,7,220383.22473008637
389,2004.0,Ag,Simulated,7,207709.3227034255
390,2005.0,Ag,Simulated,7,195930.06050383823
391,2006.0,Ag,Simulated,7,189530.80771698288
392,2007.0,Ag,Simulated,7,188652.98644131105
393,2008.0,Ag,Simulated,7,188671.0761434407
394,2009.0,Ag,Simulated,7,188522.5914146076
395,2010.0,Ag,Simulated,7,188133.58604985964
396,2011.0,Ag,Simulated,7,187915.0433222048
397,2012.0,Ag,Simulated,7,187670.55715088596
398,2013.0,Ag,Simulated,7,187687.72567482328
399,2014.0,Ag,Simulated,7,187549.70724508815
400,2015.0,Ag,Simulated,7,186542.53068816752
401,2016.0,Ag,Simulated,7,186583.08463166852
402,2017.0,Ag,Simulated,7,186021.69901047315
403,2018.0,Ag,Simulated,7,184794.8359120616
404,2019.0,Ag,Simulated,7,183909.6332942261
405,2001.0,Ag,Simulated,8,319173.61597390013
406,2002.0,Ag,Simulated,8,308765.75861573976
407,2003.0,Ag,Simulated,8,290576.9688830994
408,2004.0,Ag,Simulated,8,282003.5739538123
409,2005.0,Ag,Simulated,8,267874.4919441168
410,2006.0,Ag,Simulated,8,259735.21354872987
411,2007.0,Ag,Simulated,8,257110.68901135703
412,2008.0,Ag,Simulated,8,251570.56465448777
413,2009.0,Ag,Simulated,8,248606.76825974308
414,2010.0,Ag,Simulated,8,247057.6624225328
415,2011.0,Ag,Simulated,8,244260.7617161336
416,2012.0,Ag,Simulated,8,242287.59104053676
417,2013.0,Ag,Simulated,8,240905.4273821026
418,2014.0,Ag,Simulated,8,239647.9748581648
419,2015.0,Ag,Simulated,8,238400.34766086435
420,2016.0,Ag,Simulated,8,236364.8234607548
421,2017.0,Ag,Simulated,8,235181.6078501655
422,2018.0,Ag,Simulated,8,233143.05693458347
423,2019.0,Ag,Simulated,8,229944.27351000276
424,2001.0,Ag,Simulated,9,272791.8372741764
425,2002.0,Ag,Simulated,9,256764.3666450386
426,2003.0,Ag,Simulated,9,243423.56695570517
427,2004.0,Ag,Simulated,9,233285.92265278177
428,2005.0,Ag,Simulated,9,232295.81284998817
429,2006.0,Ag,Simulated,9,238300.7481040574
430,2007.0,Ag,Simulated,9,241865.55135631424
431,2008.0,Ag,Simulated,9,249954.86748994465
432,2009.0,Ag,Simulated,9,258984.6863968182
433,2010.0,Ag,Simulated,9,265595.4297930704
434,2011.0,Ag,Simulated,9,274516.3400695833
435,2012.0,Ag,Simulated,9,285195.7131342523
436,2013.0,Ag,Simulated,9,291003.685203423
437,2014.0,Ag,Simulated,9,300353.54573514604
438,2015.0,Ag,Simulated,9,311309.19232279964
439,2016.0,Ag,Simulated,9,319984.7404399412
440,2017.0,Ag,Simulated,9,330104.02437210974
441,2018.0,Ag,Simulated,9,341312.5507353514
442,2019.0,Ag,Simulated,9,351778.20094479865
443,2001.0,Ag,Simulated,10,248367.2116831609
444,2002.0,Ag,Simulated,10,233218.00304049105
445,2003.0,Ag,Simulated,10,214350.64543451657
446,2004.0,Ag,Simulated,10,199951.79353542835
447,2005.0,Ag,Simulated,10,191335.99810330285
448,2006.0,Ag,Simulated,10,190969.99403044317
449,2007.0,Ag,Simulated,10,189627.52000381472
450,2008.0,Ag,Simulated,10,189753.2986509193
451,2009.0,Ag,Simulated,10,188216.04601426265
452,2010.0,Ag,Simulated,10,186785.19349924693
453,2011.0,Ag,Simulated,10,185981.5456462117
454,2012.0,Ag,Simulated,10,185229.8980550858
455,2013.0,Ag,Simulated,10,183538.69379281875
456,2014.0,Ag,Simulated,10,182893.6401685646
457,2015.0,Ag,Simulated,10,182562.1076956525
458,2016.0,Ag,Simulated,10,182070.81359097004
459,2017.0,Ag,Simulated,10,180831.59332611
460,2018.0,Ag,Simulated,10,179251.65395959292
461,2019.0,Ag,Simulated,10,178161.1153206467
462,2001.0,Ag,Simulated,11,260568.4115600596
463,2002.0,Ag,Simulated,11,247453.2068183332
464,2003.0,Ag,Simulated,11,229404.4144649949
465,2004.0,Ag,Simulated,11,216221.06123952792
466,2005.0,Ag,Simulated,11,211860.90692627488
467,2006.0,Ag,Simulated,11,210008.6438851089
468,2007.0,Ag,Simulated,11,213926.35778879444
469,2008.0,Ag,Simulated,11,219920.7039867079
470,2009.0,Ag,Simulated,11,225002.7386093685
471,2010.0,Ag,Simulated,11,230242.91146233276
472,2011.0,Ag,Simulated,11,235699.3763319698
473,2012.0,Ag,Simulated,11,240513.25795222644
474,2013.0,Ag,Simulated,11,246748.06258546625
475,2014.0,Ag,Simulated,11,250936.83019457
476,2015.0,Ag,Simulated,11,255499.1815969421
477,2016.0,Ag,Simulated,11,261348.87695735044
478,2017.0,Ag,Simulated,11,266511.6419523124
479,2018.0,Ag,Simulated,11,271653.6431820859
480,2019.0,Ag,Simulated,11,277491.6457756391
481,2001.0,Ag,Simulated,12,318940.13362975174
482,2002.0,Ag,Simulated,12,295673.37636781816
483,2003.0,Ag,Simulated,12,281281.4713012339
484,2004.0,Ag,Simulated,12,260487.48561601527
485,2005.0,Ag,Simulated,12,241693.27301579967
486,2006.0,Ag,Simulated,12,225878.5141701949
487,2007.0,Ag,Simulated,12,215476.519529064
488,2008.0,Ag,Simulated,12,203498.64272544815
489,2009.0,Ag,Simulated,12,193938.26965974085
490,2010.0,Ag,Simulated,12,184049.3701605684
491,2011.0,Ag,Simulated,12,172495.73649285495
492,2012.0,Ag,Simulated,12,165796.38921699836
493,2013.0,Ag,Simulated,12,155698.78554218053
494,2014.0,Ag,Simulated,12,148457.8038721845
495,2015.0,Ag,Simulated,12,141978.79353917151
496,2016.0,Ag,Simulated,12,135039.31023626728
