,Year,Commodity,Historical or simulated,Scenario,Mean mine grade
485,2005.0,Ag,Simulated,12,0.0237632628004415
486,2006.0,Ag,Simulated,12,0.025068847204989
487,2007.0,Ag,Simulated,12,0.0244684443632188
488,2008.0,Ag,Simulated,12,0.0242986535081008
489,2009.0,Ag,Simulated,12,0.0241979799130328
490,2010.0,Ag,Simulated,12,0.0245095268226155
491,2011.0,Ag,Simulated,12,0.0241175739665398
492,2012.0,Ag,Simulated,12,0.0239081462374095
493,2013.0,Ag,Simulated,12,0.0231645530967863
494,2014.0,Ag,Simulated,12,0.0231461601579799
495,2015.0,Ag,Simulated,12,0.0230145369631418
496,2016.0,Ag,Simulated,12,0.0223783282988942
497,2017.0,Ag,Simulated,12,0.0223565313951863
498,2018.0,Ag,Simulated,12,0.0223386305212728
499,2019.0,Ag,Simulated,12,0.0220670250602294
500,2001.0,Ag,Simulated,13,0.024177390095931
501,2002.0,Ag,Simulated,13,0.0245964273884729
502,2003.0,Ag,Simulated,13,0.0240246949722745
503,2004.0,Ag,Simulated,13,0.0237671080698138
504,2005.0,Ag,Simulated,13,0.0243587856017825
505,2006.0,Ag,Simulated,13,0.0234000437788083
506,2007.0,Ag,Simulated,13,0.0234892653326884
507,2008.0,Ag,Simulated,13,0.0244986771702966
508,2009.0,Ag,Simulated,13,0.0243738185014743
509,2010.0,Ag,Simulated,13,0.0245726511574068
510,2011.0,Ag,Simulated,13,0.0249345416597434
511,2012.0,Ag,Simulated,13,0.0244813564110638
512,2013.0,Ag,Simulated,13,0.0245068719209119
513,2014.0,Ag,Simulated,13,0.0244222885591517
514,2015.0,Ag,Simulated,13,0.0235068517759327
515,2016.0,Ag,Simulated,13,0.0233941113461831
516,2017.0,Ag,Simulated,13,0.0225389416505932
517,2018.0,Ag,Simulated,13,0.0223731940298103
518,2019.0,Ag,Simulated,13,0.0214348260041639
519,2001.0,Ag,Simulated,14,0.0266467963902331
520,2002.0,Ag,Simulated,14,0.0259163603316749
521,2003.0,Ag,Simulated,14,0.0258672655556363
522,2004.0,Ag,Simulated,14,0.0269793738997289
523,2005.0,Ag,Simulated,14,0.0255247580869654
524,2006.0,Ag,Simulated,14,0.0252082230232591
525,2007.0,Ag,Simulated,14,0.0251541878850456
526,2008.0,Ag,Simulated,14,0.0246574186381544
527,2009.0,Ag,Simulated,14,0.0241105810044769
528,2010.0,Ag,Simulated,14,0.0239859994138157
529,2011.0,Ag,Simulated,14,0.0241603978648658
530,2012.0,Ag,Simulated,14,0.0232923405301378
531,2013.0,Ag,Simulated,14,0.0233129728801038
532,2014.0,Ag,Simulated,14,0.02294482617174
533,2015.0,Ag,Simulated,14,0.0226577595064495
534,2016.0,Ag,Simulated,14,0.0227324150030194
535,2017.0,Ag,Simulated,14,0.0222899378935219
536,2018.0,Ag,Simulated,14,0.022286975769514
537,2019.0,Ag,Simulated,14,0.0221613350506383
538,2001.0,Ag,Simulated,15,0.0234370868609471
539,2002.0,Ag,Simulated,15,0.0231538427743934
540,2003.0,Ag,Simulated,15,0.0231022821650421
541,2004.0,Ag,Simulated,15,0.0226672841585998
542,2005.0,Ag,Simulated,15,0.0222004708745539
543,2006.0,Ag,Simulated,15,0.0225085230634188
