,Commodity,Year,Construction,Electrical,Jewelry,Other,Bar and coin,Industrial,Transport
48,Au,2011.0,0.0014782965227285406,30.51020323493649,442.4216045365632,51.11268001724152,615.3377972772482,,
49,Au,2012.0,0.0015162303033867514,30.895589653761597,454.88489897214185,52.221940989507964,630.2019800338924,,
50,Au,2013.0,0.0015519245440411575,31.36164671328135,467.07792659193785,53.11732661592794,643.8724656216224,,
51,Au,2014.0,0.0015885880515096535,31.892019311745386,480.05567982270287,53.87399410340302,657.6078304170994,,
52,Au,2015.0,0.0016104837481059433,32.261938782097424,489.1660957205656,53.948454940062796,664.8385138332139,,
53,Au,2016.0,0.0016372974902140638,32.75572555664284,500.47533001100896,54.02331788894898,673.6449693532705,,
54,Au,2017.0,0.0016527073714548122,32.65451205031074,509.1251508163844,53.595965184705605,677.2339839906288,,
55,Au,2018.0,0.0016654956270187639,32.13819992926133,517.914974463283,53.010056052036674,679.1588331529213,,
56,Au,2019.0,0.0016799385687273668,31.646952995137852,528.3268906074197,52.442774769954546,681.090349169151,,
57,Cu,2001.0,1.5006379404511028,1.285508672299594,,1.4831641281786256,,0.19983866594177122,1.1399402122110391
58,Cu,2002.0,1.438598839867489,1.232362164880415,,1.4218459939312988,,0.19157677913287693,1.0928119101989613
59,Cu,2003.0,1.5423456807423437,1.3212552840315317,,1.5243907072045113,,0.20539530865287806,1.1717213171077725
60,Cu,2004.0,1.6557956159209635,1.4233583577739057,,1.642198724075106,,0.22127723895150994,1.259697473834439
61,Cu,2005.0,1.7314586742917633,1.4933409810983171,,1.722971234116183,,0.2321756409815655,1.3175978103939434
62,Cu,2006.0,1.8193649973763597,1.5941441732140398,,1.8397102321769454,,0.24793316497518408,1.3885908467399153
63,Cu,2007.0,1.9201398548247701,1.7232660978079397,,2.0034571299331523,,0.27006637966363223,1.4696145898403694
64,Cu,2008.0,2.02423419700745,1.8589701574346917,,2.1684128919801435,,0.2924941680636243,1.5531459469160735
65,Cu,2009.0,2.0966087742052597,1.9674129959128417,,2.31584235614652,,0.31290238505158796,1.6175055353747003
66,Cu,2010.0,2.141613690661001,2.048801362072824,,2.436067349047281,,0.33030684576449393,1.6556980245206192
67,Cu,2011.0,2.1805377190896436,2.0986703623950747,,2.494801251638179,,0.3404176707535869,1.6904063220839023
68,Cu,2012.0,2.2259237446664093,2.1551862804553776,,2.5357041649565786,,0.3493173407723347,1.7312352153478423
69,Cu,2013.0,2.28781988176086,2.2229436809086693,,2.585168948571228,,0.36056134597532846,1.7866375153603442
70,Cu,2014.0,2.3496007384687165,2.284159539709628,,2.615869324390674,,0.37031488072811986,1.8431986746056719
71,Cu,2015.0,2.4084468534403856,2.340762733975806,,2.629438409688615,,0.3789585541252162,1.8985644701621025
72,Cu,2016.0,2.492838650642898,2.430464074085835,,2.6869271468040123,,0.39435693199035465,1.9768080225678462
73,Cu,2017.0,2.5583825784104963,2.496206519537415,,2.7230561448529897,,0.40700891032225106,2.039947591354113
74,Cu,2018.0,2.636260150478109,2.5833097499612765,,2.78164610730616,,0.4222168965281311,2.1168271071798577
75,Cu,2019.0,2.6890809853986855,2.6498739271261127,,2.827040914735054,,0.4334197316646252,2.1710647314608864
76,Ni,2001.0,22.71084742029301,83.27429738957376,,154.3904020068691,,114.37035622168068,80.55147058894109
77,Ni,2002.0,24.176006361767236,88.64261618911797,,164.3432556909452,,121.74329784547024,85.74426101106344
78,Ni,2003.0,25.62876249488021,93.9673517889509,,174.23213633470039,,129.05940965380427,90.90244728621059
79,Ni,2004.0,27.16478643724653,99.5901691132105,,184.70680850230076,,136.80547387040724,96.36077339123753
80,Ni,2005.0,28.59537424703178,104.80522588338803,,194.48105550074243,,144.02379225328724,101.45059510576992
81,Ni,2006.0,30.24456835286243,110.78447695702347,,205.7532389358896,,152.34094902455095,107.31696228520177
82,Ni,2007.0,31.850430047833832,116.53788789624632,,216.72830988133387,,160.43511793810114,113.02810544326375
83,Ni,2008.0,33.704016293836574,123.09513003724513,,229.36866866989814,,169.77425794989043,119.62292836267002
84,Ni,2009.0,35.628200893202155,129.7628578758277,,242.42004768855608,,179.4593393501276,126.46426503129142
85,Ni,2010.0,37.22408710234496,135.03856682110592,,253.05405018141954,,187.4575788881318,132.13336926669666
86,Ni,2011.0,38.746815479414934,139.79761595944785,,262.8127304131806,,195.06599868357068,137.5488219826544
87,Ni,2012.0,41.11017258658167,147.26109645758973,,277.5955066021756,,206.85799985278425,145.93003745632825
88,Ni,2013.0,43.14151280938359,153.15526337600917,,289.1196993015959,,216.90803455250708,153.11354761335986
89,Ni,2014.0,45.28891265913624,159.0452477601429,,300.0916722018932,,227.44248047241766,160.6781454095638
90,Ni,2015.0,47.693099559705324,165.4020037921244,,311.2179309402304,,239.14023371597258,169.1062257253447
91,Ni,2016.0,50.161705485077775,171.5314091272003,,321.17206873991375,,250.99610413557974,177.69268409035374
92,Ni,2017.0,52.71542198786917,177.55951899366408,,330.29995751173743,,263.0817577848962,186.51634077698395
93,Ni,2018.0,55.86202122461847,185.1162759249173,,341.81029082602726,,277.8490062592766,197.31630640863293
