,Variable,Commodity,Year,Historical or simulated,Scenario,Value
333,Total demand,Cu,2013,Simulated,157,24.431263322010558
334,Total demand,Cu,2013,Simulated,216,23.43653094917902
335,Total demand,Cu,2013,Simulated,68,24.367636952132067
336,Total demand,Cu,2013,Simulated,345,32.56237890955487
337,Total demand,Cu,2013,Simulated,244,20.09999566526204
338,Total demand,Cu,2014,Historical,Historical,27.89483192393964
339,Total demand,Cu,2014,Simulated,214,27.4409131441429
340,Total demand,Cu,2014,Simulated,204,26.85060485305622
341,Total demand,Cu,2014,Simulated,226,32.35432188792575
342,Total demand,Cu,2014,Simulated,207,32.99578053555228
343,Total demand,Cu,2014,Simulated,173,26.130370734825558
344,Total demand,Cu,2014,Simulated,329,30.920550366148426
345,Total demand,Cu,2014,Simulated,187,22.57695063458788
346,Total demand,Cu,2014,Simulated,379,29.472570061316897
347,Total demand,Cu,2014,Simulated,97,25.79416914047591
348,Total demand,Cu,2014,Simulated,512,34.849712773687976
349,Total demand,Cu,2014,Simulated,527,26.05369070883605
350,Total demand,Cu,2014,Simulated,560,30.281970458485084
351,Total demand,Cu,2014,Simulated,266,23.671546562437566
352,Total demand,Cu,2014,Simulated,58,31.52203556862787
353,Total demand,Cu,2014,Simulated,262,29.77592023254127
354,Total demand,Cu,2014,Simulated,336,33.40547072523667
355,Total demand,Cu,2014,Simulated,171,25.70184791882812
356,Total demand,Cu,2014,Simulated,220,27.088924797450847
357,Total demand,Cu,2014,Simulated,277,25.155400447142217
358,Total demand,Cu,2014,Simulated,193,23.28013423354615
359,Total demand,Cu,2014,Simulated,157,24.885250436940346
360,Total demand,Cu,2014,Simulated,216,23.67967423666621
361,Total demand,Cu,2014,Simulated,68,24.32289732120385
362,Total demand,Cu,2014,Simulated,345,34.28625866574778
363,Total demand,Cu,2014,Simulated,244,20.76017672851913
364,Total demand,Cu,2015,Historical,Historical,27.97819375439177
365,Total demand,Cu,2015,Simulated,214,28.26615488504757
366,Total demand,Cu,2015,Simulated,204,26.98947478197139
367,Total demand,Cu,2015,Simulated,226,33.17038954654857
368,Total demand,Cu,2015,Simulated,207,34.03998182584972
369,Total demand,Cu,2015,Simulated,173,26.219447869608246
370,Total demand,Cu,2015,Simulated,329,31.763170763168482
371,Total demand,Cu,2015,Simulated,187,22.65451304450041
372,Total demand,Cu,2015,Simulated,379,30.134471878214608
373,Total demand,Cu,2015,Simulated,97,25.816023577673917
374,Total demand,Cu,2015,Simulated,512,35.952615366915055
375,Total demand,Cu,2015,Simulated,527,26.31317011248458
376,Total demand,Cu,2015,Simulated,560,30.77657981294707
377,Total demand,Cu,2015,Simulated,266,24.38285395914955
378,Total demand,Cu,2015,Simulated,58,32.04496678852129
379,Total demand,Cu,2015,Simulated,262,30.412653411103754
380,Total demand,Cu,2015,Simulated,336,32.5563882605931
381,Total demand,Cu,2015,Simulated,171,26.39997669869461
382,Total demand,Cu,2015,Simulated,220,27.266357065531295
383,Total demand,Cu,2015,Simulated,277,26.61501321682657
384,Total demand,Cu,2015,Simulated,193,23.03511104872272
385,Total demand,Cu,2015,Simulated,157,24.619423941209696
386,Total demand,Cu,2015,Simulated,216,23.62673065197413
387,Total demand,Cu,2015,Simulated,68,24.111366753596048
388,Total demand,Cu,2015,Simulated,345,35.199803029576415
389,Total demand,Cu,2015,Simulated,244,21.457023120481992
390,Total demand,Cu,2016,Historical,Historical,28.52072179886335
391,Total demand,Cu,2016,Simulated,214,29.853956741526144
392,Total demand,Cu,2016,Simulated,204,27.371648729137895
393,Total demand,Cu,2016,Simulated,226,35.052690464774486
394,Total demand,Cu,2016,Simulated,207,35.36428141203501
395,Total demand,Cu,2016,Simulated,173,26.5862365755366
396,Total demand,Cu,2016,Simulated,329,32.93369854529112
397,Total demand,Cu,2016,Simulated,187,23.156638128180145
398,Total demand,Cu,2016,Simulated,379,30.675268742067022
399,Total demand,Cu,2016,Simulated,97,26.114125481041665
400,Total demand,Cu,2016,Simulated,512,37.64864479776562
401,Total demand,Cu,2016,Simulated,527,26.898225377528863
402,Total demand,Cu,2016,Simulated,560,31.130992034945784
403,Total demand,Cu,2016,Simulated,266,25.460641759791944
404,Total demand,Cu,2016,Simulated,58,32.25890029868421
405,Total demand,Cu,2016,Simulated,262,31.37993281500228
406,Total demand,Cu,2016,Simulated,336,31.574448714931606
407,Total demand,Cu,2016,Simulated,171,27.810732360270784
408,Total demand,Cu,2016,Simulated,220,27.6684869158032
409,Total demand,Cu,2016,Simulated,277,27.573550676345526
410,Total demand,Cu,2016,Simulated,193,23.036945742377064
411,Total demand,Cu,2016,Simulated,157,24.550900528156077
412,Total demand,Cu,2016,Simulated,216,23.86495536600291
413,Total demand,Cu,2016,Simulated,68,24.641156777972093
414,Total demand,Cu,2016,Simulated,345,36.384132592078025
415,Total demand,Cu,2016,Simulated,244,23.123957198434717
416,Total demand,Cu,2017,Historical,Historical,29.7511520737327
417,Total demand,Cu,2017,Simulated,214,31.517151235492552
418,Total demand,Cu,2017,Simulated,204,27.82779422099224
419,Total demand,Cu,2017,Simulated,226,37.01138861622752
420,Total demand,Cu,2017,Simulated,207,36.708715221869014
421,Total demand,Cu,2017,Simulated,173,27.173151201103313
422,Total demand,Cu,2017,Simulated,329,33.68685066997931
423,Total demand,Cu,2017,Simulated,187,23.973878791342855
424,Total demand,Cu,2017,Simulated,379,30.60476935990344
425,Total demand,Cu,2017,Simulated,97,26.678671936936926
426,Total demand,Cu,2017,Simulated,512,39.29931810711712
427,Total demand,Cu,2017,Simulated,527,27.62274457164316
428,Total demand,Cu,2017,Simulated,560,31.917707021584935
429,Total demand,Cu,2017,Simulated,266,26.524652390949363
430,Total demand,Cu,2017,Simulated,58,32.21527883885427
431,Total demand,Cu,2017,Simulated,262,32.336984395011335
432,Total demand,Cu,2017,Simulated,336,30.86860608975434
433,Total demand,Cu,2017,Simulated,171,29.395514308863245
434,Total demand,Cu,2017,Simulated,220,28.23583082621843
435,Total demand,Cu,2017,Simulated,277,27.755012985076846
436,Total demand,Cu,2017,Simulated,193,23.208780481397124
437,Total demand,Cu,2017,Simulated,157,24.59684130349006
438,Total demand,Cu,2017,Simulated,216,24.273541725863648
439,Total demand,Cu,2017,Simulated,68,25.48231212959582
440,Total demand,Cu,2017,Simulated,345,37.763655407939964
441,Total demand,Cu,2017,Simulated,244,25.113223207772098
442,Total demand,Cu,2018,Historical,Historical,30.7096774193548
443,Total demand,Cu,2018,Simulated,214,32.75878266372973
